#z_dep	log10E	z_inj	T_Elec	T_Phot
11.91840	5.55918	116.69900	0.00001	0.00002
11.91840	5.55918	127.40200	0.00001	0.00001
11.91840	5.55918	139.08700	0.00001	0.00001
11.91840	5.55918	151.84400	0.00001	0.00001
11.91840	5.55918	165.77000	0.00001	0.00001
11.91840	5.55918	180.97400	0.00001	0.00001
11.91840	5.55918	197.57200	0.00001	0.00001
11.91840	5.55918	215.69200	0.00001	0.00001
11.91840	5.55918	235.47500	0.00001	0.00002
11.91840	5.55918	257.07100	0.00001	0.00002
11.91840	5.55918	280.64900	0.00002	0.00003
11.91840	5.55918	306.38900	0.00002	0.00004
11.91840	5.55918	334.48900	0.00003	0.00005
11.91840	5.55918	365.16700	0.00003	0.00005
11.91840	5.55918	398.65900	0.00003	0.00005
11.91840	5.55918	435.22200	0.00002	0.00005
11.91840	5.55918	475.13900	0.00002	0.00003
11.91840	5.55918	518.71700	0.00001	0.00002
11.91840	5.55918	566.29100	0.00001	0.00001
11.91840	5.55918	618.22900	0.00000	0.00000
